Execution,Time(s)
1,0.023286
2,0.022808
3,0.022873
4,0.022018
5,0.022842
6,0.02205
7,0.022136
8,0.023191
9,0.02063
10,0.023878
11,0.022239
12,0.023144
13,0.022328
14,0.022119
15,0.022352
16,0.02324
17,0.022639
18,0.022361
19,0.022088
20,0.022576
21,0.022274
22,0.022559
23,0.022126
24,0.022835
25,0.021895
26,0.022663
27,0.022184
28,0.02253
29,0.022047
30,0.022173
31,0.022441
32,0.022779
33,0.022751
34,0.022178
35,0.023413
36,0.020222
37,0.02332
38,0.022803
39,0.023176
40,0.022644
41,0.022469
42,0.023443
43,0.023964
44,0.023974
45,0.023216
46,0.026391
47,0.022517
48,0.024798
49,0.02176
50,0.024991
51,0.023417
52,0.023099
53,0.024265
54,0.022975
55,0.024289
56,0.02435
57,0.023938
58,0.022026
59,0.025244
60,0.023196
61,0.023632
62,0.023031
63,0.022214
64,0.022742
65,0.019678
66,0.024817
67,0.025533
68,0.028452
69,0.0287
70,0.037368
71,0.028341
72,0.028711
73,0.038536
74,0.029353
75,0.026709
76,0.029632
77,0.027541
78,0.027295
79,0.027237
80,0.027939
81,0.026832
82,0.027871
83,0.026712
84,0.027145
85,0.027381
86,0.027176
87,0.027441
88,0.027105
89,0.026053
90,0.026455
91,0.024096
92,0.027069
93,0.025156
94,0.026512
95,0.026329
96,0.025824
97,0.026706
98,0.02625
99,0.029113
100,0.029881
