Execution,Time(s)
1,0.057679
2,0.056841
3,0.059579
4,0.06323
5,0.06017
6,0.058017
7,0.057304
8,0.056365
9,0.056591
10,0.057374
11,0.05738
12,0.056416
13,0.057249
14,0.056961
15,0.056215
16,0.05768
17,0.056509
18,0.057415
19,0.057629
20,0.056753
21,0.056346
22,0.057952
23,0.056392
24,0.057015
25,0.057571
26,0.056503
27,0.057343
28,0.057806
29,0.056183
30,0.058623
31,0.056659
32,0.056374
33,0.056781
34,0.049992
35,0.046269
36,0.046979
37,0.046328
38,0.047333
39,0.046272
40,0.047123
41,0.047222
42,0.047262
43,0.046788
44,0.048228
45,0.047752
46,0.047343
47,0.046578
48,0.046815
49,0.046672
50,0.046775
51,0.046231
52,0.046645
53,0.047145
54,0.04655
55,0.046555
56,0.04696
57,0.046663
58,0.046845
59,0.046582
60,0.046927
61,0.046273
62,0.046393
63,0.046883
64,0.04691
65,0.046417
66,0.046494
67,0.04669
68,0.047791
69,0.049655
70,0.047179
71,0.046384
72,0.047146
73,0.046536
74,0.046347
75,0.046672
76,0.047777
77,0.046611
78,0.046713
79,0.046786
80,0.046683
81,0.04722
82,0.046223
83,0.047281
84,0.046476
85,0.046564
86,0.047222
87,0.047128
88,0.046979
89,0.046692
90,0.046836
91,0.046596
92,0.046477
93,0.046534
94,0.046459
95,0.046947
96,0.054254
97,0.047791
98,0.046985
99,0.048117
100,0.047034
